#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 , , , , , , , , , , , , , , , , , ,#, , , , , , , , , , , , , , , , , , , ,#, ,#, , , , , ,#, , ,#, , ,#, , , ,#, ,#, , , , , , , , , ,#, , , ,#, ,#, ,#, , , ,#, , , , , ,#, , , , , , , , ,#, , , ,#
#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#,#, ,#, ,#
#, , , ,#, ,#, , , ,#, ,#, ,#, , , ,#, ,#, , , ,#, ,#, , , ,#, ,#, ,#, , , ,#, ,#, , , ,#, , , , , ,#, , , ,#, , , , , ,#, ,#, ,#, ,#, ,#, ,#, , , , , ,#, , , ,#, ,#, ,#, , , , , , , ,#, , ,#, ,#, ,#
#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, , , ,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#,#, ,#, ,#
#, , , ,#, ,#, ,#, ,#, , , ,#, ,#, , , ,#, , , ,#, ,#, ,#, ,#, , , ,#, ,#, , , ,#, , , , , ,#, ,#, ,#, ,#, , , ,#, , , ,#, ,#, , , , , , , , , , , ,#, , , ,#, ,#, , , , , , , , , , , ,#, , ,#, ,#, ,#
#, ,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#,#, ,#, ,#
#, , , , , , , , , , , , , , , , , , , ,#, , , , , , , , , , , , , , , , , , , ,#, , , ,#, ,#, , , , , , , , , ,#, , , ,#, , , ,#, ,#, , , ,#, , , , , ,#, , , ,#, , , ,#, ,#, ,#, ,#, ,#, , ,#, ,#, ,#
#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#,#,#, ,#,#, ,#, ,#
#, , , , , ,#, , , , , ,#, , , , , ,#, ,#, , , , , , , ,#, , , ,#, ,#, , , ,#, ,#, ,#, , , , , ,#, , , , , ,#, , , , , ,#, ,#, ,#, , , ,#, , , , , ,#, , , ,#, , , , , , , , , ,#, , , , , , ,#, ,#, ,#
#, ,#, ,#, , , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#
